,gender,age,district,job,highest education,Marital Status,monthly Income,distance to bank,account type,banking monile apps amount,mobile banking service usage,Type of transaction,transfer amount,account balance check frequency,pay extra to account balance check,inter bank money transfer usage ,ok to pay extra to inter bank money transfer,way of knowing,way of learning,hardness,user interface,is cheap,cheapness,ratings,ස්ත්‍රී පුරුෂ භාවය,වයස,දිස්ත්‍රික්කය,රැකියාව,ඔබේ ඉහළම අධ්‍යාපනය කුමක්ද?,ඔබේ විවාහක තත්වය කුමක්ද?,ඔබේ මාසික ආදායම කුමක්ද?,ඔබේ නිවසේ සිට බැංකුව කොතරම් දුරද?,ජංගම දුරකථනය භාවිතයෙන් ඔබ ප්‍රවේශ වන බැංකු ගිණුමේ වර්ගය,ඔබ ජන්ගම බැන්කු යෙදුම් කීයක් භාවිතා කරනවද?,ඔබ ජංගම බැංකු සේවාව කොපමණ වාරයක් භාවිතා කරනවාද?,ඔබ ජංගම බැංකුකරණය භාවිතා කරන්නේ කුමන ආකාරයේ ගනුදෙනුවක් සඳහාද?,"ඔබ මුදල් හුවමාරුව සඳහා භාවිතා කරන්නේ නම්, සාමාන්‍යයෙන් ඔබ කොපමණ මුදලක් මාරු කරන්නේද?",ජංගම බැංකු යෙදුම භාවිතයෙන් ඔබ කොපමණ වාරයක් ඔබගේ ගිණුමේ ශේෂය පරීක්ෂා කරන්නේද?,ජංගම බැංකු අයදුම්පත භාවිතා කර බිල් ගෙවීමේදී අමතර මුදලක් ගෙවීම සුදුසු ද?,අන්තර් බැංකු මුදල් හුවමාරුව සඳහා ඔබ ජංගම බැංකු යෙදුම භාවිතා කරනවාද?,අන්තර් බැංකු මුදල් හුවමාරුවකදී අමතර මුදලක් ගෙවීම සුදුසු ද?,ජංගම බැංකු යෙදුම ගැන ඔබ අසා ඇත්තේ කෙසේද?,ජංගම බැංකු යෙදුම භාවිතා කිරීමට ඔබ ඉගෙන ගත්තේ කෙසේද?,ජංගම බැංකු යෙදුම භාවිතා කිරීම කෙතරම් දුෂ්කර ද?,ජංගම බැංකු යෙදුමේ පරිශීලක අතුරුමුහුණත ගැන ඔබට හැඟෙන්නේ කෙසේද?,ජංගම බැංකුකරණය ලාභදායී හෝ මිල අධික යැයි ඔබ සිතනවාද?,සාම්ප්‍රදායික බැංකු සේවාවන්ට වඩා ජංගම බැංකු සේවා ලාභදායී යැයි ඔබ සිතනවාද?,ජන්ගම බැන්කු සේවාව 1 සිට 5 දක්වා ශ්‍රේණිගත කරන්න
,Female,31,Matara,Software Engineer,Degree,Married,"In between 100,000 to 250,000",In between 5KM and 10KM,Savings Account,In between 2 and 5,Daily –Several times,"Money transfer, Bill Payment, Account balance check",Less than 5000,Daily,No,Yes,No,Friend,From a friend,Very easy,Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Female,26,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",more than 10KM,Savings Account,In between 2 and 5,Daily - Once,"Money transfer, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Social media,From a friend,Very easy,Very Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Female,25,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",Less than 5KM,Savings Account,In between 2 and 5,Daily - Once,"Money transfer, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,Yes,Social media,From a family member,Very easy,Very Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Male,28,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",more than 10KM,Savings Account,In between 2 and 5,Daily –Several times,"Money transfer, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,Yes,Social media,From a family member,Very easy,Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Female,26,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",In between 5KM and 10KM,Savings Account,In between 2 and 5,Daily - Once,"Money transfer, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Social media,From a bank personnel,Very easy,Good,Cheap,Yes,4,,,,,,,,,,,,,,,,,,,,,,,,
,Female,26,Matara,Software Engineer,Degree,Married,"In between 100,000 to 250,000",more than 10KM,Savings Account,In between 2 and 5,Daily - Once,"Money transfer, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Friend,From Media,Very easy,Good,Cheap,Yes,3,,,,,,,,,,,,,,,,,,,,,,,,
,Male,25,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",more than 10KM,Savings Account,In between 2 and 5,Daily –Several times,"Money transfer, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Friend,From a friend,Very easy,Good,Cheap,Yes,4,,,,,,,,,,,,,,,,,,,,,,,,
,Male,25,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",more than 10KM,Savings Account,In between 2 and 5,Daily - Once,"Money transfer, Credit card settlement, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,Yes,Social media,From a friend,Very easy,Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Male,24,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",In between 5KM and 10KM,Savings Account,In between 2 and 5,Daily –Several times,"Money transfer, Credit card settlement, As a payment methods while shopping, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,Yes,Social media,From Media,Very easy,Very Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Male,27,Anuradhapura,Nurse,Diploma,Single,"In between 20,000 to 50,000",more than 10KM,Savings Account,In between 2 and 5,Daily - Once,"Money transfer, Credit card settlement, As a payment methods while shopping, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Social media,From a friend,Very easy,Very Good,Very Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Male,28,Colombo,Civil Engineer,Degree,Married,"In between 50,000 to 100,000",In between 5KM and 10KM,Savings Account,In between 2 and 5,Weekly - Once,"Money transfer, Credit card settlement, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Social media,From a friend,Very easy,Very Good,Cheap,Yes,4,,,,,,,,,,,,,,,,,,,,,,,,
,Female,29,Anuradhapura,Doctor,Degree,Married,"More than 250,000",more than 10KM,Savings Account,less than 2,Daily –Several times,"Money transfer, Credit card settlement, Bill Payment, Account balance check",Less than 5000,Daily,No,Yes,No,Social media,From a friend,Very easy,Very Good,Cheap,Yes,4,,,,,,,,,,,,,,,,,,,,,,,,
,Female,31,Anuradhapura,Civil Engineer,Degree,Married,"In between 100,000 to 250,000",Less than 5KM,Savings Account,In between 2 and 5,Daily –Several times,"Money transfer, Credit card settlement, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Social media,From a family member,Very easy,Good,Cheap,Yes,4,,,,,,,,,,,,,,,,,,,,,,,,
,Male,25,Gampaha,Electrical Engineer,Degree,Single,"In between 20,000 to 50,000",more than 10KM,Savings Account,less than 2,Daily - Once,"Money transfer, Credit card settlement, Bill Payment, Account balance check",Less than 5000,Daily,No,Yes,No,Social media,From Media,Very easy,Very Good,Very Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Male,24,Anuradhapura,Student,Diploma,Single,"In between 20,000 to 50,000",In between 5KM and 10KM,Savings Account,In between 2 and 5,Daily –Several times,"Money transfer, Credit card settlement, Bill Payment, Account balance check",Less than 5000,Daily,No,Yes,No,Social media,From a bank personnel,Very easy,Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Female,24,Colombo,Nursing Student,Advanced Level,Married,"In between 20,000 to 50,000",more than 10KM,Savings Account,less than 2,Daily - Once,"Money transfer, Credit card settlement, Bill Payment, Account balance check",Less than 5000,Daily,No,Yes,No,Social media,From a bank personnel,Very easy,Very Good,Very Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Female,29,Kalutara,Doctor,Degree,Married,"More than 250,000",more than 10KM,Savings Account,less than 2,Daily –Several times,"Money transfer, Credit card settlement, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,Social media,From a friend,Very easy,Very Good,Very Cheap,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,31,Anuradhapura,Doctor,Degree,Married,"More than 250,000",more than 10KM,Both,In between 2 and 5,Weekly - Several times,"Money transfer, Credit card settlement, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,No,No,TV advertiesment,From a family member,Very easy,Very Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Female,34,Colombo,Doctor,Degree,Married,"More than 250,000",In between 5KM and 10KM,Both,In between 2 and 5,Weekly - Several times,"Money transfer, Credit card settlement, Bill Payment, Account balance check",In between 5000 and 20000,Daily,No,Yes,No,TV advertiesment,From a family member,Very easy,Very Good,Very Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
